,funny,meaningful,religious,romantic,long distance,quote
,Don we now our ugly sweaters… Let's party! Happy Holidays!,May the Christmas Season bring only happiness and joy to you and your family.,May your heart be lifted in praise this Christmas for the wonderful gift of Jesus and the joy He brings to our lives.,You're the most magical part of the most wonderful time of the year.,"Even though we're apart, I'm sending you a special wish, a holiday hug and a mistletoe kiss!","May this season find you among those you love, sharing in the twin glories of generosity and gratitude. -Oprah Winfrey"
,Christmas is the only time of year in which one can sit in front of a dead tree and eat candy out of socks. Enjoy!,The gift of love. The gift of peace. The gift of happiness. May all these be yours at Christmas.,Merry Christmas! May God richly bless you throughout the year.,"Your love is the best Christmas gift I could ever receive. Merry Christmas, sweetheart!","Far apart during this holiday, but totally together in our hearts and minds. Merry Christmas!",Christmas is the day that holds all time together. -Alexander Smith
,"Wishing you a white Christmas! (And when you run out of white, just open a bottle of red).",Wishing you a season full of light and laughter for you and your family.,Jesus is the reason for the season. Merry Christmas!,You're the partridge to my pear tree.,Sending a smile across the miles for a wonderful Christmas!,I wish we could put up some of the Christmas spirit in jars and open a jar of it every month. -Harlan Miller
,You're a gift in my life. And not the kind I'd return for store credit. Merry Christmas!,"Best wishes for a joyous Christmas filled with love, happiness and prosperity!",May God fill your Yuletide season and all your days with immeasurable prosperity and joy! Merry Christmas!,Christmas is more magical now that you're in my life!,"I may not be nearby, but you are always in my mind and heart this holiday. Merry Christmas!",Christmas will always be as long as we stand heart to heart and hand in hand. -Dr. Seuss
,A Christmas reminder: Don't try to borrow any money from elves ... they're always a little short. Have a Merry Christmas!,"May all that is beautiful, meaningful and brings you joy be yours this holiday season and throughout the coming year!",Sending prayers and hearty Christmas greetings to you. May you receive the most special of God's blessings during this Christmas season!,"Merry Christmas to someone who's sweeter than a candy cane, warms me up more than a cup of hot cocoa and fills my heart with joy more than the biggest present under the tree!",Missing you most during this festive time.,One of the most glorious messes in the world is the mess created in the living room on Christmas Day. Don't clean it up too quickly. -Andy Rooney
,"Wishing you hope, peace and lots of Christmas cookies this holiday season!",Merry Christmas! Wishing you all the happiness your holiday can hold!,"May you have the gift of faith, the blessing of hope and the peace of His love at Christmas and always!",The only thing I love more than Christmas is you.,"We may not be together on Christmas morning, but you're always in my heart.",Christmas isn't a season. It's a feeling. -Edna Ferber
,They say the best Christmas gifts come from the heart … but cash and gift cards do wonders too! Happy Holidays!,May your holidays sparkle with joy and laughter.,Merry Christmas! I hope you receive one blessing after another this coming year.,"It's not what's under the tree that matters most, it's who's around it. Every year I'm so grateful to have you there.","I wish we could be together this holiday season, but I'm sending warm wishes your way.","A lovely thing about Christmas is that it's compulsory, like a thunderstorm, and we all go through it together. -Garrison Keillor"
,"Remember, Santa is watching. Everything. Yes, even that. Anyway, Merry Christmas!",I hope the magic of Christmas fills every corner of your heart and home with joy - now and always.,"May the Lord grant you and all your loved ones peace, joy and goodwill.",You put the merry in my Christmas.,I'll miss celebrating with you this Christmas. Eat a few extra cookies for me!,"Christmas isn't just a day. It's a frame of mind. -Valentine Davies, Miracle on 34th Street"
,Merry Christmas! May your happiness be large and your bills be small.,"Our family wishes you love, joy and peace … today, tomorrow and always.",Wishing you a season that's merry and bright with the light of God's love.,"Though we are apart, you are in my heart this Christmas.","We may not be able to rock around the Christmas tree together, but I'll deck the halls in your honor.","Christmas Eve was a night of song that wrapped itself about you like a shawl. But it warmed more than your body. It warmed your heart ... filled it, too, with melody that would last forever. -Bess Streeter Aldrich"
,"This holiday season, let's make it a point to cherish what's truly important in our lives: cookies.","May your family have a holiday season that is full of wonderful surprises, treats and nonstop laughter.",May God's blessings be yours this Christmas.,"Forget the mistletoe, you can kiss me anytime you like.","Even though we're apart, our hearts are together.","Christmas is not an external event at all, but a piece of one's home that one carries in one's heart. -Freya Stark"
,I told Santa you were good this year and sent him a link to your Pinterest board. Merry Christmas to you!,Merry Christmas! Wishing you all the best this holiday season!,"May the wonder of that first Christmas, the joy of God's abundant blessings and the peace of Jesus' presence be with you always.",All I want for Christmas is you.,Let's have a Christmas video call - I'll bring the cocoa!,"I prefer the retro chic of spending Christmas just like Joseph and Mary did - traveling arduously back to the place of your birth to be counted, with no guarantee of a bed when you get there. -Tina Fey"
,"This Christmas, may your family be functional and all your batteries be included.",Wishing you a Christmas that's merry and bright!,May the true spirit of Christmas shine in your heart and light your path.,I'm so lucky to be spending another Christmas with you!,Christmas won't be the same without you here.,"I am not 100 percent certain what a sugarplum is, but for a few weeks every year I've got visions of them dancing in my head anyway. -Jane Green"
,Merry Christmas! I put so much thought into your gift that now it's too late to get it.,We hope you have a safe and relaxing holiday season.,Wishing you and your loved ones a blessed Christmas.,Merry Christmas! You're the best gift I could ask for.,"Even though we're apart, I hope you have a joyous holiday.",The best of all gifts around any Christmas tree: the presence of a happy family all wrapped up in each other. -Burton Hills
,"Please note: Christmas is canceled. Apparently, you told Santa you have been good this year … he died laughing.","I hope your holiday season is full of peace, joy and happiness.",May God bless and keep you during the holiday season and all through the year.,Holidays like Christmas make me so grateful to share life with you.,Consider this card a raincheck for a belated Christmas hug.,Christmas is a season not only of rejoicing but of reflection. -Winston Churchill
,"Is it just me, or does Santa look younger every year?",Merry Christmas with lots of love.,May God bless your life with love and joy this holiday season.,Christmas is magical because we're together.,,"My idea of Christmas, whether old-fashioned or modern, is very simple: loving others. -Bob Hope"
,"Christmas is mostly for children. But we adults can enjoy it too, until the credit card bills arrive.",I hope your Christmas is filled with joy this year!,Merry Christmas! May God's love be with you.,,,"Peace on earth will come to stay, when we live Christmas every day. -Helen Steiner Rice"
,Eat. Drink. Be Merry. Have a wonderful Christmas!,Happy Holidays! I hope all of your Christmas wishes come true.,May the spirit of Christmas be with you all year round.,,,
